period,method,profile,matched_to,jaccard,share
future,MiniBatchKMeans,19,23,0.005159690096923303,0.0016503848298402692
future,MiniBatchKMeans,20,15,0.07401601017923619,0.006669641335996109
future,MiniBatchKMeans,21,10,0.009227803023707522,0.0005496217875492163
future,MiniBatchKMeans,22,8,0.5085317110822615,0.017222400852562297
future,MiniBatchKMeans,23,14,0.0,0.0012306580628945276
future,MiniBatchKMeans,24,26,0.004218368225733137,0.0002992116325039929
future,MiniBatchKMeans,25,3,0.30280091209927357,0.5624204564625624
future,MiniBatchKMeans,26,24,0.14650084543209455,0.09177607928259607
future,MiniBatchKMeans,27,12,0.0,0.0015297309195256717
future,MiniBatchKMeans,28,7,0.010496196909860865,0.0041029648458209885
future,MiniBatchKMeans,29,16,0.008409886661647985,0.002755738073379037
future,MiniBatchKMeans,30,0,0.0,0.0043549714389652305
future,GMM (diag),0,25,0.2764247329844171,0.008438200329382686
future,GMM (diag),1,19,0.283263506662909,0.009384563762530605
future,GMM (diag),2,21,0.09767295996346524,0.013178402227018214
future,GMM (diag),3,12,0.2559856595737322,0.014567061396975082
future,GMM (diag),4,20,0.6551002631419912,0.07971145845190848
future,GMM (diag),5,10,0.0,0.0
future,GMM (diag),6,11,0.3965570746839819,0.11833524762518514
future,GMM (diag),7,1,0.4239834771179786,0.0032720992703565033
future,GMM (diag),8,16,0.32317403481198226,0.12175088511204948
future,GMM (diag),9,27,0.41584866936063986,0.005220847786761559
future,GMM (diag),10,6,0.0,0.00012843090377088733
future,GMM (diag),11,0,0.4819676370548101,0.39622929323697353
future,GMM (diag),12,22,0.26474716187177405,0.09138162292360977
future,GMM (diag),13,18,0.0,0.007282540822761813
future,GMM (diag),14,3,0.0,7.564580028082456e-05
future,GMM (diag),15,2,0.007399872260262405,0.0006330697465454848
future,GMM (diag),16,4,0.20039826761415294,0.00691827028754
future,GMM (diag),17,9,0.0,0.0007388122170267856
future,GMM (diag),18,15,0.3126059919442134,0.025425630915158478
future,GMM (diag),19,7,0.0,0.004362163026406028
future,GMM (diag),20,8,0.05692613672857452,0.0023341391109618203
future,GMM (diag),21,26,0.0989719902082199,0.0019801676103327072
future,GMM (diag),22,30,0.3433289365738658,0.015973848492365224
future,GMM (diag),23,29,0.0,0.0
future,GMM (diag),24,14,0.27171421578738536,0.05909412687151684
future,GMM (diag),25,17,0.0,0.0009118135652161032
future,GMM (diag),26,5,0.02485231400683337,0.00035870913771054823
future,GMM (diag),27,23,0.0,0.0011593111075509771
future,GMM (diag),28,24,0.0,0.0047852549624067845
future,GMM (diag),29,28,0.0,0.00014103608227228822
future,GMM (diag),30,13,3.390292214751889e-05,0.006227347217425448
future,BIRCH,0,16,0.22882884592760694,0.006849447703449273
future,BIRCH,1,6,0.0030488059366159644,0.019212691010420224
future,BIRCH,2,3,0.09390190166385164,0.0002905380101844417
future,BIRCH,3,4,0.7579581306858648,0.8453137427102188
future,BIRCH,4,8,0.03853623962051436,0.0004351209922582599
future,BIRCH,5,9,0.0024906790835176433,0.0008173061463347689
future,BIRCH,6,21,0.0022332243637010907,0.0003134780336845101
future,BIRCH,7,27,0.0005549228716276794,0.003835974597576473
future,BIRCH,8,12,0.0049992000730336985,0.0002952882519122987
future,BIRCH,9,7,0.003001411680980413,0.001833885609987799
future,BIRCH,10,19,0.014048768577235264,0.03545402675205448
future,BIRCH,11,11,0.006979568353929139,0.00059193407011328
future,BIRCH,12,10,0.004388542268691219,0.008166126229095861
future,BIRCH,13,23,0.002103026422154956,0.00022760633878553786
future,BIRCH,14,15,0.0,7.381731926434276e-05
future,BIRCH,15,26,0.001204575939746412,0.001457465556985046
future,BIRCH,16,5,0.023264037728426157,0.010395791498800804
future,BIRCH,17,30,0.1902316967088356,0.0004723211494756519
future,BIRCH,18,14,0.22663035219351316,0.01246110850458477
future,BIRCH,19,17,0.1501995252020137,8.081236962723233e-05
future,BIRCH,20,13,0.0,0.0023674804703464536
future,BIRCH,21,2,0.3162053145113709,4.898933622845134e-05
future,BIRCH,22,1,0.0027948755736722395,5.3723193750690066e-05
future,BIRCH,23,0,0.0,0.00011932759327452257
future,BIRCH,24,18,0.0,0.0003689030895493135
future,BIRCH,25,22,0.0,0.00016756367803414944
future,BIRCH,26,20,0.0,6.913597192853139e-05
future,BIRCH,27,25,0.07129893808270357,0.04319859469853224
future,BIRCH,28,24,0.544596242507187,0.001355716770565854
future,BIRCH,29,28,0.0,0.0024428345657167175
future,BIRCH,30,29,0.0,0.0012292477772593094
future,Ward (sample + NC),0,1,0.0003952893417794857,0.009590096811467037
future,Ward (sample + NC),1,4,0.003203813847866587,0.002850818642229526
future,Ward (sample + NC),2,9,0.0021198789633478164,0.0030296717314654614
future,Ward (sample + NC),3,2,0.3842184958750541,0.5451255241444758
future,Ward (sample + NC),4,21,0.1658985089228482,0.024621403683878898
future,Ward (sample + NC),5,16,0.0014642668961092817,0.01878531004899776
future,Ward (sample + NC),6,5,0.00838800771865311,0.0035650917189405233
future,Ward (sample + NC),7,3,0.2339712553702755,0.011039984117428176
future,Ward (sample + NC),8,23,0.035691116823448055,0.0005876964760517597
future,Ward (sample + NC),9,25,0.0018502164553792374,0.0011045676162925269
